model,rmse_km_s,rho0,scale_radius_kpc,rho_s,a0_toy_units,A_km2s2_per_kpcalpha,alpha,g_dagger_km2s2_per_kpc
OFR_direct_residual,6.5085136535918334e-15,,,,,,,
NFW,3.4018175317874983,,14.754716981132075,6188660.215125091,,,,
OFR_RAR,4.134206683071765,,,,,,,4715.372232593399
MOND_like,4.273190207922664,,,,4582.880668257757,,,
OFR_power_law,5.253661631301947,,,,,3287.4104593189377,0.5280898876404494,
pISO,5.782202247205986,94855871.86202094,1.774496644295302,,,,,
Burkert,6.933595790180291,72527749.49192718,4.120125786163522,,,,,
OFR_fleet,10.257950130476695,,,,,,,
baryon_only,50.70104801512085,,,,,,,
