R_kpc,Vobs,errV,Vbar_fid,Baryon-only_(ϒ=0.5,_,OFR_direct_(ϒ_opt,_1,pISO_halo,NFW_halo,Burkert_halo,MOND_(RAR,_g†=1.2e-1
11.4300,130.0000,1.1300,64.4179,64.4179,89.4381,130.3100,131.6475,131.6879,124.2373
11.9200,130.0000,2.2300,63.9224,63.9224,88.0306,130.9793,132.1764,132.3225,124.8016
12.4200,132.0000,2.6800,63.5640,63.5640,86.7827,131.6889,132.7299,132.9685,125.5018
12.9200,133.0000,2.6800,63.1233,63.1233,85.5470,132.3154,133.1906,133.5055,126.0719
13.4200,133.0000,3.3700,62.3626,62.3626,84.1377,132.7509,133.4528,133.8283,126.2389
13.9100,133.0000,3.8100,61.4688,61.4688,82.7544,133.0873,133.6001,134.0324,126.1913
14.4100,133.0000,2.5600,60.7135,60.7135,81.4554,133.4624,133.7874,134.2504,126.2838
14.9100,134.0000,0.5600,60.0007,60.0007,80.2345,133.8276,133.9588,134.4384,126.3891
15.4000,134.0000,0.7900,59.2428,59.2428,79.0320,134.1321,134.0688,134.5516,126.3874
15.9000,133.0000,0.6700,58.4277,58.4277,77.8127,134.4004,134.1337,134.6079,126.3005
16.4000,134.0000,2.3500,57.5818,57.5818,76.6343,134.6384,134.1579,134.6184,126.1409
16.8900,134.0000,4.1300,56.5916,56.5916,75.3604,134.7788,134.0908,134.5216,125.7524
17.3900,136.0000,3.9100,55.6903,55.6903,74.1596,134.9487,134.0480,134.4364,125.4537
17.8900,136.0000,6.3800,54.7276,54.7276,72.9447,135.0779,133.9601,134.2983,125.0431
18.3800,135.0000,8.3900,53.8061,53.8061,71.8184,135.2032,133.8653,134.1509,124.6341
18.8800,133.0000,7.8300,52.8759,52.8759,70.6729,135.3169,133.7571,133.9764,124.1957
19.3800,134.0000,6.2600,52.2597,52.2597,69.7754,135.5375,133.7565,133.9010,124.1324
19.8700,136.0000,5.6000,51.9729,51.9729,69.1571,135.8602,133.8617,133.9278,124.4616
20.3700,135.0000,5.2400,51.6882,51.6882,68.5416,136.1742,133.9543,133.9335,124.7910
20.8700,134.0000,3.1200,51.4416,51.4416,68.0065,136.4918,134.0435,133.9375,125.1543
