Galaxy,D_Mpc,Rad_kpc,Vobs_kms,eVobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,Vbar_kms,M_dyn_Msun,M_visible_Msun,M_F_residual_Msun,M_F_residual_clamped_Msun,R_g_kms2_per_kpc,mass_discrepancy_D,V_baryon_only_kms,V_OFR_direct_residual_kms,V_pISO_kms,V_NFW_kms,V_Burkert_kms,V_MOND_like_kms,V_OFR_power_law_kms,V_OFR_RAR_kms,V_OFR_fleet_kms
NGC2403,3.16,0.16,24.5,2.83,0.0,23.21,0.0,1105.79,0.0,16.41194839133977,22330158.036322545,10020281.289308546,12309876.747014,12309876.747014,2068.1121875,2.2284961261664793,16.41194839133977,24.499999999999996,17.688622686916098,25.66168543470518,17.373186688826227,24.47549292634677,38.96586388597101,24.47044159243696,28.573334230696716
NGC2403,3.16,0.26,35.3,2.46,0.0,35.33,0.0,1006.36,0.0,24.98208257932072,75329035.01817057,37728563.72256104,37600471.29560953,37600471.29560953,2392.2521153846146,1.9966048952222661,24.98208257932072,35.3,27.169092662639027,35.36791781183419,26.613020418346895,35.05891896203492,47.30875565276791,34.97966658056144,37.09271134766715
NGC2403,3.16,0.36,43.2,1.12,1.92,46.97,0.0,938.26,0.0,33.2682558905633,156210290.3804079,92640782.06705093,63569508.313356966,63569508.313356966,2109.619861111112,1.6861935628668059,33.2682558905633,43.2,36.37217517051655,44.35056654903069,35.56716274224095,44.87323982369236,54.985654903522345,44.696249831757385,45.130668539345095
NGC2403,3.16,0.46,52.0,1.25,2.29,56.68,0.0,789.78,0.0,40.144181396561066,289203912.660344,172362462.36261627,116841450.29772773,116841450.29772773,2374.8797826086966,1.6778822296696867,40.144181396561066,51.99999999999999,44.26331666307341,51.97163587581189,43.184531444320285,53.07921734321424,61.58797031317346,52.818304873207126,51.93601135627405
NGC2403,3.16,0.56,60.9,2.93,2.64,63.77,0.0,624.65,0.0,45.169414984035384,482905617.64835817,265654149.47069353,217251468.17766464,217251468.17766464,2979.5249107142845,1.8177981356983528,45.169414984035384,60.9,50.4606219077781,57.92280347876207,49.07461871200297,59.37597868599385,66.78776838767442,59.066180163110374,57.13520589538338
NGC2403,3.16,0.66,65.8,1.25,3.0,67.56,0.0,511.64,0.0,47.86623862389858,664408787.9076754,351594589.98212016,312814197.9255552,312814197.9255552,3088.580606060605,1.8897013971161016,47.86623862389858,65.8,54.58293338370672,61.86517094378171,52.8403505900192,63.37636398383298,70.22030338035593,63.06926085763111,60.32214981722007
NGC2403,3.16,0.76,71.7,1.25,3.34,70.83,0.0,469.31,0.0,50.19561783661996,908430169.4292605,445230436.8145346,463199732.6147259,463199732.6147259,3449.065723684211,2.040359540396104,50.19561783661996,71.7,58.399358317194206,65.36990045808346,56.304654352463,66.92485304597007,73.23585229768841,66.62380278877995,63.123330110205686
NGC2403,3.16,0.86,74.6,1.6,3.68,72.8,0.0,402.53,0.0,51.60874344527291,1112796501.2055585,532579771.2577105,580216729.9478481,580216729.9478481,3374.0669767441855,2.0894456779265966,51.60874344527291,74.6,61.43725636722756,68.05016352043621,58.98478039799816,69.5321729573738,75.49299961740087,69.25422789007133,65.10687165356839
NGC2403,3.16,0.96,74.6,1.03,4.02,74.87,0.0,381.19,0.0,53.09349159737002,1242191443.206205,629206864.5937722,612984578.6124327,612984578.6124327,2860.6678645833317,1.9742178814406088,53.09349159737002,74.6,64.53252972524275,70.68478036440466,61.75669157453714,72.12967089932246,77.69310641119726,71.86884216778486,67.09712291838069
NGC2403,3.16,1.06,76.6,1.12,4.37,77.12,0.0,359.63,0.0,54.70689261875509,1446115728.9968867,737614771.292587,708500957.7042997,708500957.7042997,2711.9961320754705,1.960529785029564,54.70689261875509,76.6,67.70588406898833,73.32610613858935,64.65163292147925,74.78320112880411,79.8935833024725,74.53331119279049,69.14830992991045
