model,rmse_km_s,rho0,scale_radius_kpc,rho_s,a0_toy_units,A_km2s2_per_kpcalpha,alpha,g_dagger_km2s2_per_kpc
OFR_direct_residual,2.0511601988091347e-15,,,,,,,
Burkert,1.0319942923044345,26009143.477348574,2.6125786163522013,,,,,
pISO,1.2193820232943315,26705794.609854046,1.4395973154362416,,,,,
NFW,2.4309629428150465,,19.77358490566038,977048.1491765383,,,,
OFR_RAR,2.5433934636078246,,,,,,,2509.2468001250986
MOND_like,2.5493645937384652,,,,2530.5799522673033,,,
OFR_power_law,2.7472885415985133,,,,,414.93257202147083,0.9775280898876404,
OFR_fleet,3.5251247675208663,,,,,,,
baryon_only,23.71217692693497,,,,,,,
