model,rmse_km_s,rho0,scale_radius_kpc,rho_s,a0_toy_units,A_km2s2_per_kpcalpha,alpha,g_dagger_km2s2_per_kpc
OFR_direct_residual,3.729827743272922,,,,,,,
pISO,5.484354069548743,50330919.23942742,2.779194630872483,,,,,
Burkert,5.731401771374845,35378506.543531045,6.6327044025157225,,,,,
NFW,8.183935261919384,,20.777358490566037,3706018.33010756,,,,
OFR_RAR,8.541672850287963,,,,,,,2846.675080111865
MOND_like,8.556413312260617,,,,2816.947494033413,,,
OFR_power_law,12.751522203802821,,,,,2538.016154301076,0.5730337078651684,
OFR_fleet,20.250150610236336,,,,,,,
baryon_only,56.10018925823561,,,,,,,
