knot,mean_distance,max_distance,mean_residual_energy
figure_eight_like,5.5,7,0.6305469673649995
torus_2_5,5.333333333333333,8,0.5542849291656461
torus_3_4,7.333333333333333,12,0.5762307263103223
trefoil,8.666666666666666,13,0.5515433382732354
unknot,15.333333333333334,16,0.5441853689980473
