candidate,discovery_score,standard_rmse,fleet_rmse,novelty_gap,scar_capture,damage_echo,memory_word
Object-004,55.04508113562612,0.45378891168503804,0.12220562775304689,0.33158328393199116,0.8434665116204804,0.04653988106245355,S S M S H H K M R+ R+ M M R- R- D D H R+ R+ R- R- S
Object-058,51.691829799048506,0.3824033650656287,0.0984254586426762,0.2839779064229525,0.8703883219616457,0.05224509808535883,R+ S S S H K R- R- R+ R+ M R- R- S D D H R+ R+ R- R- R+
Object-017,48.778428855952484,0.4125427195255372,0.0967887411503968,0.3157539783751404,0.7882377636632667,0.1000586183795876,R- S S S S M M K H R+ M R- R- S D D R+ M R+ R- R- S
Object-040,47.38606440304529,0.548884027964643,0.19191708022892193,0.356966947735721,0.7679223035830253,0.1193683280771663,S S S S R+ K K R+ R+ R+ M R- R- M D D H R+ R+ R- R- S
Object-047,44.46560268699857,0.37605312520205963,0.12312810631054426,0.25292501889151536,0.8341768023390262,0.08066222527049631,S S S S R+ H K R- R+ R+ R+ R- R- D D D R+ R+ M M R- S
Object-050,44.0462104859283,0.3971988808339319,0.14539744978898675,0.2518014310449451,0.8200795357653954,0.06625580162222576,S S S R- S H K R- R+ R+ R+ R- R- M D D S S M S R- R+
Object-042,43.453589481973864,0.3409277938806067,0.08621043209574411,0.2547173617848626,0.8616074556149184,0.13246242691614452,R+ S S S S S H H M R+ M M R- D D D M R+ R+ R- R- R-
Object-033,41.63952142172268,0.2645166517949801,0.06598459503834006,0.19853205675664,0.8548936549250812,0.08378268491819181,S S S S H H M R- S R+ M S R- R- D D R+ S M M S R-
Object-069,41.11381796804401,0.6198368311430734,0.24651900625731663,0.3733178248857568,0.7231398223241222,0.18276133422191376,R- S S S H K K R+ R+ R+ M R- R- M D D R+ R- M R+ S R+
Object-054,41.056249942572016,0.4441015498802991,0.14942922779444465,0.2946723220858545,0.6928895685079142,0.10514057616701514,R- S S S S S M K K R+ R+ R- R- M D D S R- M M S R+
Object-025,39.79945252397555,0.3732543196302042,0.10553667425895306,0.26771764537125115,0.8436502719403836,0.18610877773732482,S S S S S H K R- R+ R+ M S R- D D H M R+ R+ R- R- S
Object-031,39.689088973276405,0.4113851469419111,0.13272605511873278,0.2786590918231783,0.6399232999642993,0.08360216329140538,R- S M S S M H K R+ R+ M R- R- R- D D D S M M R- S
Object-019,37.934549633271125,0.44568860200089144,0.12401152495452135,0.3216770770463701,0.7041256210563769,0.21099984304465264,S S S S S M H K R+ R+ M M R- D D H R- R+ R+ R- R- R-
Object-021,36.08959174081318,0.3205946270577141,0.09820270126680562,0.22239192579090844,0.8087704884372194,0.1597536435413993,S S S S S H K R- R+ R+ M S R- S D D D S M R- R- R+
Object-062,35.695948234804725,0.2662937155025773,0.06976360156581145,0.19653011393676584,0.8178138040851609,0.14841110569963226,R- S S S S R+ H H M R+ M S S S S D D S M M R- R-
Object-048,35.499561573592715,0.411246605564375,0.11904181482925658,0.2922047907351184,0.7140202577853163,0.21143273794744055,R- S S S H K R- R- R+ R+ M M R- D D R- S S R+ R- S R-
Object-044,32.90690416432113,0.3448412414556326,0.12705983022543166,0.21778141123020095,0.8170226002697706,0.18812092553545554,S S S S S H K R- R+ R+ M R- R- D D H R+ S M M R- S
Object-057,30.52274095077184,0.49923005435401735,0.20791821705784877,0.2913118372961686,0.648851844586625,0.2003838137163495,R- S S S S R+ H K R+ R+ R+ R- R- D D H R+ R- M R+ S R+
